FID,BLOCKID10,HOUSING10,POP10,X,Y
"7,173",420032022002034,0,0,"1,325,044.731880000100000","416,523.565591000020000"
"7,174",420032022001001,20,16,"1,326,445.685740000100000","416,583.388686000020000"
"7,175",420032814001036,8,23,"1,325,545.176890000000000","414,422.093969999990000"
"7,176",420035625004025,4,16,"1,326,999.954780000000000","418,499.620312999990000"
"7,177",420032814002009,17,30,"1,327,041.223980000000000","413,088.635538999980000"
"7,178",420035625003011,102,130,"1,327,544.787869999900000","416,690.053421000020000"
"7,179",420035625004035,26,68,"1,327,629.226740000100000","417,924.373330999980000"
"7,180",420035625002013,6,14,"1,328,132.650570000100000","418,417.584425000010000"
"7,181",420035625001024,1,2,"1,328,489.507370000000000","419,004.652550000000000"
"7,182",420035625003019,15,25,"1,328,079.316649999900000","416,583.485563999970000"
"7,183",420035625003016,1,2,"1,328,560.487650000000000","417,206.831271999980000"
"7,184",420035625002039,9,25,"1,328,459.632879999900000","416,425.410251999970000"
"7,185",420032814001007,21,62,"1,327,675.159860000000000","415,499.499270999980000"
"7,186",420035625001008,0,0,"1,328,938.847989999900000","418,855.641867000030000"
"7,187",420035625002034,2,3,"1,329,454.121830000100000","416,806.519806000000000"
"7,188",420035625002033,0,0,"1,330,832.887020000000000","416,373.457543000000000"
"7,189",420035626003026,7,12,"1,332,351.993199999900000","414,065.018079000000000"
"7,190",420033204002000,9,20,"1,344,182.587319999900000","392,398.440332999980000"
"7,191",420032904004001,9,26,"1,348,065.769890000100000","394,574.573016999990000"
"7,192",420031911002013,25,60,"1,335,654.623459999900000","410,839.222278999980000"
"7,193",420031911002011,5,15,"1,335,477.232750000000000","410,696.827668000010000"
"7,194",420031911002025,8,17,"1,335,609.799350000000000","410,203.942500000000000"
"7,195",420031911001011,29,60,"1,335,606.587390000000000","409,469.547161000020000"
"7,196",420031911001079,0,0,"1,335,473.007220000000000","406,955.405264000000000"
"7,197",420031911002020,1,5,"1,337,002.900609999900000","410,471.332398000000000"
"7,198",420031911001025,5,10,"1,336,120.512440000000000","408,954.588059999980000"
"7,199",420031911002032,0,0,"1,336,853.671320000000000","409,729.498112000000000"
"7,200",420031911002028,11,21,"1,336,982.306000000100000","410,150.258830000010000"
"7,201",420039807001025,0,0,"1,341,378.332549999900000","408,159.234136999990000"
"7,202",420031903001021,54,102,"1,338,442.435740000100000","409,094.948609000010000"
"7,203",420031903002002,19,25,"1,338,607.128340000100000","408,364.789576000010000"
"7,204",420031916001023,47,90,"1,335,319.527890000000000","403,955.889169999980000"
"7,205",420031911001067,15,32,"1,336,848.161940000000000","408,137.308459000020000"
"7,206",420031914002006,13,23,"1,337,684.720569999900000","406,335.287317999990000"
"7,207",420031915001035,0,0,"1,337,142.839239999900000","405,072.367251000020000"
"7,208",420031915001034,0,0,"1,337,654.762540000000000","404,372.299292000010000"
"7,209",420032815002002,28,52,"1,326,676.098930000100000","412,445.233855000000000"
"7,210",420032815002006,14,28,"1,326,311.476640000000000","411,747.071418999990000"
"7,211",420035631002006,21,35,"1,326,533.013940000000000","410,391.881791999970000"
"7,212",420035631002014,34,61,"1,326,571.574839999900000","409,692.766283000000000"
"7,213",420035631002008,28,56,"1,327,355.374640000100000","410,131.835591999990000"
"7,214",420035631001017,14,30,"1,328,962.237419999900000","409,650.663211999980000"
"7,215",420031914002002,36,67,"1,338,425.661279999900000","407,145.709837000000000"
"7,216",420031914002035,12,28,"1,338,707.222890000100000","406,139.654175999980000"
"7,217",420031914002024,13,17,"1,339,047.445129999900000","406,482.366661000010000"
"7,218",420031914002010,0,0,"1,338,306.180290000000000","405,120.888661000000000"
"7,219",420031915002012,66,126,"1,338,974.321670000000000","404,976.297236000010000"
"7,220",420031914002032,0,0,"1,338,687.495829999900000","405,235.297039999980000"
"7,221",420031915001024,41,71,"1,338,491.027999999900000","404,430.336218999990000"
"7,222",420031914001019,29,38,"1,339,903.121030000000000","407,284.589969000020000"
"7,223",420031914001013,35,58,"1,340,277.253659999900000","407,479.974791000020000"
"7,224",420031914001021,39,63,"1,340,032.871839999900000","406,929.826505000000000"
"7,225",420031915002026,64,92,"1,339,622.155220000100000","404,641.755950000020000"
"7,226",420039807001030,0,0,"1,342,240.856760000100000","407,536.176298999980000"
"7,227",420035628001010,2,2,"1,321,117.095040000000000","403,445.242581000030000"
"7,228",420031807003018,44,94,"1,342,238.681330000100000","404,594.148794999990000"
"7,229",420031920005003,49,79,"1,335,280.310170000000000","400,226.383176999980000"
"7,230",420031915001029,11,30,"1,338,234.844880000000000","403,481.895665000020000"
"7,231",420031920001013,101,154,"1,335,089.283349999900000","398,596.444918999970000"
"7,232",420031919003003,12,23,"1,335,187.616970000100000","395,661.835639000000000"
"7,233",420031917002006,17,38,"1,336,550.541000000000000","396,411.736371000010000"
"7,234",420031919001009,17,30,"1,336,387.481459999900000","395,912.822902999990000"
"7,235",420031919001011,16,34,"1,336,280.531780000100000","395,779.438163999990000"
"7,236",420031917001005,61,103,"1,338,173.766589999900000","399,782.452859000010000"
"7,237",420032023002016,0,0,"1,328,302.389170000100000","397,260.822084999990000"
"7,238",420032814002024,8,18,"1,329,933.081250000000000","413,058.258705999990000"
"7,239",420032814002014,0,0,"1,330,198.445099999900000","413,000.537690000030000"
"7,240",420035626002027,3,3,"1,330,092.913669999900000","411,916.382068999980000"
"7,241",420035631001014,0,0,"1,329,254.694780000000000","409,711.669016000000000"
"7,242",420035631001010,36,76,"1,329,921.776009999900000","409,166.777484000020000"
"7,243",420035626001031,4,4,"1,332,506.288680000000000","409,632.798935000030000"
"7,244",420035626002020,5,18,"1,330,440.185940000000000","412,200.994522999970000"
"7,245",420035626002032,10,32,"1,330,772.384260000000000","412,077.581171000030000"
"7,246",420035626004048,4,3,"1,331,222.975460000100000","412,943.036018999990000"
"7,247",420035626004039,1,0,"1,331,741.788590000000000","412,351.234317999970000"
"7,248",420035631001023,11,14,"1,328,697.197290000000000","409,061.111908000020000"
"7,249",420031917001020,17,30,"1,338,932.303129999900000","397,403.378509000000000"
"7,250",420031917001023,7,10,"1,337,616.189760000000000","397,442.404895999990000"
"7,251",420035624004041,14,12,"1,339,611.058299999900000","402,986.847435000000000"
"7,252",420035624004049,10,23,"1,340,237.261960000000000","403,056.557879999980000"
"7,253",420035624002017,1,1,"1,339,906.283710000100000","402,152.046353999990000"
"7,254",420035624004001,5,12,"1,341,563.199090000000000","404,161.465203000000000"
"7,255",420035624004051,8,17,"1,340,592.956449999900000","403,068.130474000010000"
"7,256",420035624003008,7,11,"1,340,575.578539999900000","402,834.821755999990000"
"7,257",420035624003013,6,18,"1,341,205.232640000100000","402,695.156170999980000"
"7,258",420035624003023,11,22,"1,341,201.818520000000000","402,420.515566000020000"
"7,259",420035624004000,2,7,"1,341,831.479100000100000","404,156.045282999980000"
"7,260",420035624003004,11,17,"1,341,701.965559999900000","402,831.405361999990000"
"7,261",420035624003024,17,46,"1,341,697.358410000100000","402,419.872144000020000"
"7,262",420033001005004,34,61,"1,343,592.251690000100000","400,773.992900000010000"
